WARNING 2025-04-28 20:10:20,078 log 28824 32744 Forbidden (CSRF cookie not set.): /vote/4/4/
WARNING 2025-04-28 20:37:19,135 log 26140 33388 Forbidden (CSRF cookie not set.): /vote/7/7/
WARNING 2025-04-28 20:41:50,892 log 22260 14456 Forbidden (CSRF cookie not set.): /vote/10/10/
INFO 2025-04-28 20:51:44,043 tests 30344 6304 Setting up test data for all test cases
INFO 2025-04-28 20:51:44,730 tests 30344 6304 Test data setup complete
INFO 2025-04-28 20:51:44,730 tests 30344 6304 Testing team loading endpoint
INFO 2025-04-28 20:51:44,931 tests 30344 6304 Setting up test data for all test cases
INFO 2025-04-28 20:51:45,622 tests 30344 6304 Test data setup complete
INFO 2025-04-28 20:51:45,622 tests 30344 6304 Setting up admin tests
INFO 2025-04-28 20:51:45,622 tests 30344 6304 Testing admin access permissions
INFO 2025-04-28 20:51:45,989 tests 30344 6304 Setting up admin tests
INFO 2025-04-28 20:51:45,989 tests 30344 6304 Testing admin session management
INFO 2025-04-28 20:51:46,171 tests 30344 6304 Setting up test data for all test cases
INFO 2025-04-28 20:51:46,868 tests 30344 6304 Test data setup complete
INFO 2025-04-28 20:51:46,868 tests 30344 6304 Testing nonexistent session access
WARNING 2025-04-28 20:51:47,045 log 30344 6304 Not Found: /vote/9999/13/
INFO 2025-04-28 20:51:47,048 tests 30344 6304 Testing user without team voting
INFO 2025-04-28 20:51:47,405 tests 30344 6304 Testing vote update functionality
INFO 2025-04-28 20:51:47,589 tests 30344 6304 Testing voting on inactive session
INFO 2025-04-28 20:51:47,768 tests 30344 6304 Setting up test data for all test cases
INFO 2025-04-28 20:51:48,463 tests 30344 6304 Test data setup complete
INFO 2025-04-28 20:51:48,463 tests 30344 6304 Testing invalid team selection
INFO 2025-04-28 20:51:48,474 tests 30344 6304 Testing password mismatch
INFO 2025-04-28 20:51:48,482 tests 30344 6304 Testing valid registration form
INFO 2025-04-28 20:51:48,488 tests 30344 6304 Testing vote form valid values
